question,opt1,opt2,opt3,opt4,answer
Which social media platform is primarily focused on professional networking?,Facebook,Instagram,LinkedIn,Twitter,LinkedIn
Who won the Academy Award for Best Actor for his role in "The Revenant"?,Leonardo DiCaprio,Brad Pitt,Matthew McConaughey,Joaquin Phoenix,Leonardo DiCaprio
In the movie "The Matrix" what color pill does Neo take?,Red,Green,Blue,Yellow,Red
Which social media platform allows users to share short video clips set to music?,Twitter,Facebook,Instagram,TikTok,TikTok
Who directed the film "Schindler's List"?,Steven Spielberg,Martin Scorsese,Francis Ford Coppola,Quentin Tarantino,Steven Spielberg
Which movie features a character named "Darth Vader"?,Star Wars: The Force Awakens,The Lord of the Rings,The Dark Knight,Star Wars: Episode IV - A New Hope,Star Wars: Episode IV - A New Hope
On which social media platform can you "reblog" content?,Instagram,Facebook,Tumblr,Snapchat,Tumblr
Who played the character "Tony Stark" in the Marvel Cinematic Universe?,Chris Evans,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Robert Downey Jr.
What is the main premise of the movie "Inception"?,Time travel,Heist within dreams,Space exploration,Parallel universes,Heist within dreams
Which social media platform was initially known for its disappearing photo and video messages?,Instagram,Facebook,Snapchat,Twitter,Snapchat
Which social media platform was launched in 2004 and was originally named "The Facebook"?,Twitter,Instagram,Facebook,Snapchat,Facebook
Who directed the movie "The Shawshank Redemption"?,Martin Scorsese,Christopher Nolan,Quentin Tarantino,Frank Darabont,Frank Darabont
What is the main character's name in the movie "Forrest Gump"?,Jack Dawson,Forrest Gump,Tony Stark,John Wick,Forrest Gump
Which social media platform is known for its 6-second looping videos?,Instagram,Facebook,TikTok,Snapchat,TikTok
In the movie "The Dark Knight" who played the role of the Joker?,Heath Ledger,Jack Nicholson,Joaquin Phoenix,Christian Bale,Heath Ledger
Who is the creator of the social media platform Twitter?,Mark Zuckerberg,Jack Dorsey,Elon Musk,Jeff Bezos,Jack Dorsey
What is the highest-grossing film of all time (as of the last update in 2022)?,Titanic,Avatar,Avengers: Endgame,Star Wars: The Force Awakens,Avengers: Endgame
Which film won the Academy Award for Best Picture in 2020?,1917,Parasite,Once Upon a Time in Hollywood,Joker,Parasite
On which social media platform can you "pin" images to virtual boards?,Instagram,Facebook,Pinterest,Snapchat,Pinterest
Who directed the film "Inception"?,Christopher Nolan,Steven Spielberg,Quentin Tarantino,Martin Scorsese,Christopher Nolan
What is the capital city of France?,Rome,Berlin,London,Paris,Paris
Who wrote "The Catcher in the Rye"?,J.K. Rowling,Mark Twain,Harper Lee,J.D. Salinger,J.D. Salinger
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,Pacific Ocean
In which year did the American Civil War end?,1863,1865,1870,1880,1865
Who is the founder of Microsoft?,Bill Gates,Steve Jobs,Elon Musk,Mark Zuckerberg,Bill Gates
What is the chemical symbol for iron?,Au,Fe,Hg,Pb,Fe
Who is known as the "Father of the Computer"?,Charles Babbage,Ada Lovelace,Alan Turing,Grace Hopper,Charles Babbage
Which gas do plants absorb during photosynthesis?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,Carbon Dioxide
What is the highest mountain in the world?,Mount Kilimanjaro,Mount Everest,Matterhorn,K2,Mount Everest
Who painted "The Starry Night"?,Pablo Picasso,Leonardo da Vinci,Vincent van Gogh,Claude Monet,Vincent van Gogh
Which planet is known as the "Red Planet"?,Venus,Earth,Mars,Saturn,Mars
Who wrote "1984"?,George Orwell,Ernest Hemingway,J.K. Rowling,Charles Dickens,George Orwell
What is the capital city of Japan?,Seoul,Beijing,Hanoi,Tokyo,Tokyo
What is the largest moon in our solar system?,Europa,Enceladus,Ganymede,Titan,Ganymede
Who is the lead singer of the band Queen?,Freddie Mercury,David Bowie,Mick Jagger,Elton John,Freddie Mercury
In which year did the first manned moon landing occur?,1961,1969,1975,1982,1969
What is the chemical symbol for silver?,Ag,Au,Fe,Cu,Ag
Who is the author of the Harry Potter series?,J.K. Rowling,George R.R. Martin,Stephen King,J.R.R. Tolkien,J.K. Rowling
Which country is known as the Land of the Rising Sun?,China,Japan,Korea,Vietnam,Japan
What is the speed of light in a vacuum?,300000 km/s,500000 km/s,1000000 km/s,150000 km/s,300000 km/s
What is the largest desert in the world?,Gobi Desert,Sahara Desert,Arabian Desert,Karakum Desert,Sahara Desert
Who wrote "Pride and Prejudice"?,Jane Austen,Charles Dickens,Leo Tolstoy,Emily Brontë,Jane Austen
Which element has the chemical symbol "K"?,Potassium,Calcium,Iron,Sodium,Potassium
What is the smallest prime number?,0,1,2,3,2
In which year did the Berlin Wall fall?,1985,1989,1991,1995,1989
Who developed the theory of relativity?,Isaac Newton,Albert Einstein,Nikola Tesla,Marie Curie,Albert Einstein
What is the capital city of South Africa?,Johannesburg,Pretoria,Durban,Cape Town,Pretoria
How many continents are there on Earth?,5,6,7,8,7
Who painted the Sistine Chapel ceiling?,Vincent van Gogh,Leonardo da Vinci,Michelangelo,Pablo Picasso,Michelangelo
What is the currency of Mexico?,Peso,Rupee,Yen,Euro,Peso
What is the capital city of Canada?,Toronto,Vancouver,Ottawa,Montreal,Ottawa
Who wrote "The Great Gatsby"?,F. Scott Fitzgerald,Ernest Hemingway,Jane Austen,Charles Dickens,F. Scott Fitzgerald
What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Endoplasmic Reticulum,Mitochondria
In what year did World War II end?,1943,1945,1950,1940,1945
What is the largest planet in our solar system?,Mars,Jupiter,Saturn,Neptune,Jupiter
Who is known as the "Father of Computer Science"?,Alan Turing,Ada Lovelace,Charles Babbage,Grace Hopper,Alan Turing
What is the square root of 144?,10,12,14,16,12
Which ocean is the largest by area?,Atlantic Ocean,Indian Ocean,Pacific Ocean,Southern Ocean,Pacific Ocean
Who painted "Starry Night"?,Pablo Picasso,Leonardo da Vinci,Vincent van Gogh,Claude Monet,Vincent van Gogh
What is the chemical symbol for water?,H2O,CO2,O2,NaCl,H2O
What is the largest mammal on Earth?,Elephant,Blue Whale,Giraffe,Lion,Blue Whale
In which year did the Titanic sink?,1909,1912,1921,1933,1912
